START
f=1 fc=65535 room=0 same=0 px=65535 py=65535
f=30 fc=0 room=0 same=24 px=0 py=0
f=60 fc=0 room=296 same=54 px=4 py=32421
f=90 fc=0 room=296 same=84 px=34 py=32421
f=120 fc=0 room=296 same=114 px=64 py=32421
f=150 fc=0 room=296 same=144 px=94 py=32421
f=180 fc=0 room=296 same=174 px=124 py=32421
f=210 fc=0 room=296 same=204 px=154 py=32421
f=240 fc=0 room=296 same=234 px=184 py=32421
f=270 fc=0 room=296 same=264 px=214 py=32421
f=300 fc=0 room=296 same=294 px=244 py=32421
f=330 fc=0 room=296 same=324 px=274 py=32421
f=360 fc=0 room=296 same=354 px=304 py=32421
f=390 fc=0 room=296 same=384 px=334 py=32421
f=420 fc=0 room=1062 same=414 px=364 py=32421
f=450 fc=0 room=1062 same=444 px=394 py=32421
f=480 fc=0 room=1795 same=474 px=394 py=32421
f=510 fc=0 room=1795 same=504 px=394 py=32421
f=540 fc=0 room=1795 same=534 px=394 py=32421
f=570 fc=0 room=1795 same=564 px=394 py=32421
f=600 fc=0 room=1795 same=594 px=394 py=32421
f=630 fc=535 room=1795 same=6 px=46335 py=223
f=660 fc=535 room=1795 same=36 px=46335 py=223
f=690 fc=535 room=1795 same=66 px=46335 py=223
f=720 fc=535 room=1795 same=96 px=46335 py=223
f=750 fc=535 room=1795 same=126 px=46335 py=223
f=780 fc=535 room=1795 same=156 px=46335 py=223
f=810 fc=535 room=1795 same=186 px=46335 py=223
f=840 fc=535 room=1795 same=216 px=46335 py=223
f=870 fc=535 room=1795 same=246 px=46335 py=223
f=900 fc=535 room=1795 same=276 px=46335 py=223
f=930 fc=535 room=1795 same=306 px=46335 py=223
f=960 fc=535 room=1795 same=336 px=46335 py=223
f=990 fc=535 room=1795 same=366 px=46335 py=223
f=1020 fc=535 room=1795 same=396 px=46335 py=223
f=1050 fc=535 room=1795 same=426 px=46335 py=223
f=1080 fc=535 room=1795 same=456 px=46335 py=223
f=1110 fc=535 room=1795 same=486 px=46335 py=223
f=1140 fc=535 room=1795 same=516 px=46335 py=223
f=1170 fc=535 room=1795 same=546 px=46335 py=223
f=1200 fc=535 room=1795 same=576 px=46335 py=223
f=1230 fc=535 room=1795 same=606 px=46335 py=223
f=1260 fc=535 room=1795 same=636 px=46335 py=223
f=1290 fc=535 room=1795 same=666 px=46335 py=223
f=1320 fc=535 room=1795 same=696 px=46335 py=223
f=1350 fc=535 room=1795 same=726 px=46335 py=223
f=1380 fc=535 room=1795 same=756 px=46335 py=223
f=1410 fc=535 room=1795 same=786 px=46335 py=223
f=1440 fc=535 room=1795 same=816 px=46335 py=223
f=1470 fc=535 room=1795 same=846 px=46335 py=223
f=1500 fc=535 room=1795 same=876 px=46335 py=223
f=1530 fc=535 room=1795 same=906 px=46335 py=223
f=1560 fc=535 room=1795 same=936 px=46335 py=223
f=1590 fc=535 room=1795 same=966 px=46335 py=223
f=1620 fc=535 room=1795 same=996 px=46335 py=223
f=1650 fc=535 room=1795 same=1026 px=46335 py=223
f=1680 fc=535 room=1795 same=1056 px=46335 py=223
f=1710 fc=47545 room=1795 same=1 px=47545 py=1810
f=1740 fc=47545 room=47545 same=31 px=47545 py=1810
f=1770 fc=0 room=296 same=19 px=4 py=32421
f=1800 fc=0 room=296 same=49 px=34 py=32421
f=1830 fc=0 room=296 same=79 px=64 py=32421
f=1860 fc=0 room=296 same=109 px=94 py=32421
f=1890 fc=0 room=296 same=139 px=124 py=32421
f=1920 fc=0 room=296 same=169 px=154 py=32421
f=1950 fc=0 room=296 same=199 px=184 py=32421
f=1980 fc=0 room=296 same=229 px=214 py=32421
f=2010 fc=0 room=296 same=259 px=244 py=32421
f=2040 fc=0 room=296 same=289 px=274 py=32421
f=2070 fc=0 room=296 same=319 px=304 py=32421
f=2100 fc=0 room=296 same=349 px=334 py=32421
f=2130 fc=0 room=296 same=379 px=364 py=32421
f=2160 fc=0 room=296 same=409 px=394 py=32421
f=2190 fc=0 room=296 same=439 px=424 py=32421
f=2220 fc=0 room=296 same=469 px=454 py=32421
f=2250 fc=0 room=296 same=499 px=484 py=32421
f=2280 fc=0 room=296 same=529 px=514 py=32421
f=2310 fc=0 room=296 same=559 px=544 py=32421
f=2340 fc=0 room=296 same=589 px=574 py=32421
f=2370 fc=0 room=296 same=619 px=604 py=32421
f=2400 fc=0 room=296 same=649 px=634 py=32421
f=2430 fc=0 room=296 same=679 px=664 py=32421
f=2460 fc=0 room=296 same=709 px=694 py=32421
f=2490 fc=0 room=296 same=739 px=724 py=32421
f=2520 fc=0 room=296 same=769 px=754 py=32421
f=2550 fc=0 room=296 same=799 px=784 py=32421
f=2580 fc=0 room=296 same=829 px=814 py=32421
f=2610 fc=0 room=296 same=859 px=844 py=32421
f=2640 fc=0 room=296 same=889 px=874 py=32421
f=2670 fc=0 room=296 same=919 px=904 py=32421
f=2700 fc=0 room=296 same=949 px=934 py=32421
f=2730 fc=0 room=296 same=979 px=964 py=32421
f=2760 fc=0 room=296 same=1009 px=994 py=32421
f=2790 fc=0 room=296 same=1039 px=1024 py=32421
f=2820 fc=0 room=296 same=1069 px=1054 py=32421
f=2850 fc=0 room=296 same=1099 px=1084 py=32421
f=2880 fc=0 room=296 same=1129 px=1114 py=32421
f=2910 fc=0 room=296 same=1159 px=1144 py=32421
f=2940 fc=0 room=296 same=1189 px=1174 py=32421
f=2970 fc=0 room=296 same=1219 px=1204 py=32421
f=3000 fc=0 room=296 same=1249 px=1234 py=32421
f=3030 fc=0 room=296 same=1279 px=1264 py=32421
f=3060 fc=0 room=296 same=1309 px=1294 py=32421
f=3090 fc=0 room=296 same=1339 px=1324 py=32421
f=3120 fc=0 room=296 same=1369 px=1354 py=32421
f=3150 fc=0 room=296 same=1399 px=1384 py=32421
f=3180 fc=0 room=296 same=1429 px=1414 py=32421
f=3210 fc=0 room=296 same=1459 px=1444 py=32421
f=3240 fc=0 room=296 same=1489 px=1474 py=32421
f=3270 fc=0 room=296 same=1519 px=1504 py=32421
f=3300 fc=0 room=296 same=1549 px=1534 py=32421
f=3330 fc=0 room=296 same=1579 px=1564 py=32421
f=3360 fc=0 room=296 same=1609 px=1594 py=32421
f=3390 fc=0 room=296 same=1639 px=1624 py=32421
f=3420 fc=0 room=296 same=1669 px=1654 py=32421
f=3450 fc=0 room=296 same=1699 px=1684 py=32421
f=3480 fc=0 room=296 same=1729 px=1714 py=32421
f=3510 fc=0 room=296 same=1759 px=1744 py=32421
f=3540 fc=0 room=296 same=1789 px=1774 py=32421
f=3570 fc=0 room=296 same=1819 px=1804 py=32421
f=3600 fc=0 room=296 same=1849 px=1834 py=32421
TIMEOUT
