f=1 fc=65535 room=0 same=0 px=65535 py=65535
f=30 fc=10 room=0 same=0 px=0 py=0
f=60 fc=4 room=31 same=0 px=56 py=48
f=90 fc=34 room=31 same=0 px=56 py=48
f=120 fc=0 room=0 same=0 px=0 py=0
f=150 fc=16 room=31 same=0 px=56 py=48
f=180 fc=46 room=31 same=0 px=56 py=48
f=210 fc=3 room=0 same=10 px=0 py=0
f=240 fc=29 room=31 same=0 px=56 py=48
f=270 fc=59 room=0 same=0 px=56 py=48
f=300 fc=12 room=31 same=0 px=56 py=48
f=330 fc=42 room=31 same=0 px=56 py=48
f=360 fc=3 room=0 same=6 px=0 py=0
f=390 fc=25 room=31 same=0 px=56 py=48
f=420 fc=55 room=31 same=0 px=56 py=48
f=450 fc=7 room=31 same=0 px=56 py=48
f=480 fc=37 room=31 same=0 px=56 py=48
f=510 fc=3 room=0 same=1 px=0 py=0
f=540 fc=20 room=31 same=0 px=56 py=48
f=570 fc=50 room=31 same=0 px=56 py=48
f=600 fc=80 room=31 same=0 px=56 py=48
DONE
