START
f=1 fc=65535 room=0 same=0 px=65535 py=65535
f=30 fc=10 room=0 same=0 px=0 py=0
f=60 fc=4 room=0 same=0 px=0 py=0
f=90 fc=34 room=0 same=0 px=0 py=0
f=120 fc=64 room=0 same=0 px=0 py=0
f=150 fc=94 room=0 same=0 px=0 py=0
f=180 fc=124 room=0 same=0 px=0 py=0
ROOM12 frame=192 fc=136
f=192 fc=136 room=12 same=0 px=60 py=40
f=193 fc=137 room=12 same=0 px=60 py=40
f=194 fc=138 room=12 same=0 px=60 py=40
f=195 fc=139 room=12 same=0 px=60 py=40
f=196 fc=140 room=12 same=0 px=60 py=40
f=197 fc=141 room=12 same=0 px=60 py=40
f=198 fc=142 room=12 same=0 px=60 py=40
f=199 fc=143 room=12 same=0 px=60 py=40
f=200 fc=144 room=12 same=0 px=60 py=40
f=201 fc=145 room=12 same=0 px=60 py=40
f=202 fc=146 room=12 same=0 px=60 py=40
f=203 fc=147 room=12 same=0 px=60 py=40
f=204 fc=148 room=12 same=0 px=60 py=40
f=205 fc=149 room=12 same=0 px=60 py=40
f=206 fc=150 room=12 same=0 px=60 py=40
f=207 fc=151 room=12 same=0 px=60 py=40
f=208 fc=152 room=12 same=0 px=60 py=40
f=209 fc=153 room=12 same=0 px=60 py=40
f=210 fc=154 room=12 same=0 px=60 py=40
f=211 fc=155 room=12 same=0 px=60 py=40
f=212 fc=156 room=12 same=0 px=60 py=40
f=213 fc=157 room=12 same=0 px=60 py=40
f=214 fc=158 room=12 same=0 px=60 py=40
f=215 fc=159 room=12 same=0 px=60 py=40
f=216 fc=160 room=12 same=0 px=60 py=40
f=217 fc=161 room=12 same=0 px=60 py=40
f=218 fc=162 room=12 same=0 px=60 py=40
f=219 fc=163 room=12 same=0 px=60 py=40
f=220 fc=164 room=12 same=0 px=60 py=40
f=221 fc=26985 room=12 same=0 px=60 py=40
f=222 fc=26986 room=12 same=0 px=60 py=40
f=223 fc=26987 room=12 same=0 px=60 py=40
f=224 fc=26988 room=12 same=0 px=60 py=40
f=225 fc=26989 room=12 same=0 px=60 py=40
f=226 fc=26990 room=12 same=0 px=60 py=40
f=227 fc=26991 room=12 same=0 px=60 py=40
f=228 fc=26992 room=12 same=0 px=60 py=40
f=229 fc=26993 room=12 same=0 px=60 py=40
f=230 fc=26994 room=12 same=0 px=60 py=40
f=231 fc=26995 room=12 same=0 px=60 py=40
f=232 fc=26996 room=12 same=0 px=60 py=40
f=233 fc=26997 room=12 same=0 px=60 py=40
f=234 fc=26998 room=12 same=0 px=60 py=40
f=235 fc=26999 room=12 same=0 px=60 py=40
f=236 fc=27000 room=12 same=0 px=60 py=40
f=237 fc=27001 room=12 same=0 px=60 py=40
f=238 fc=27002 room=12 same=0 px=60 py=40
f=239 fc=27003 room=12 same=0 px=60 py=40
f=240 fc=27004 room=12 same=0 px=60 py=40
f=241 fc=27005 room=12 same=0 px=60 py=40
f=242 fc=27006 room=12 same=0 px=60 py=40
f=243 fc=27007 room=12 same=0 px=60 py=40
f=244 fc=27008 room=12 same=0 px=60 py=40
f=245 fc=27009 room=12 same=0 px=60 py=40
f=246 fc=27010 room=12 same=0 px=60 py=40
f=270 fc=256 room=0 same=17 px=0 py=256
HANG
