START
f=1 fc=65535 room=0 same=0 px=65535 py=65535 mon=0 line=0 char=0 tick=0
f=30 fc=10 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=60 fc=4 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=90 fc=34 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=120 fc=64 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=150 fc=94 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=180 fc=124 room=1 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=210 fc=0 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=240 fc=30 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=270 fc=60 room=1 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=300 fc=3 room=0 same=10 px=0 py=0 mon=0 line=0 char=0 tick=0
f=330 fc=29 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=360 fc=59 room=1 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=390 fc=3 room=0 same=9 px=0 py=0 mon=0 line=0 char=0 tick=0
f=420 fc=28 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=450 fc=58 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=480 fc=88 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=510 fc=118 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=540 fc=148 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=570 fc=178 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=600 fc=208 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=630 fc=238 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=660 fc=268 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=690 fc=298 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=720 fc=328 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=750 fc=358 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=780 fc=388 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=810 fc=418 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=840 fc=448 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=870 fc=478 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=900 fc=508 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=930 fc=538 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=960 fc=568 room=0 same=0 px=0 py=0 mon=0 line=0 char=0 tick=0
