START
f=1 fc=65535 room=0 px=65535 py=65535 mon=0 line=0 char=0 tick=0
f=60 fc=16 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=120 fc=76 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=180 fc=136 room=1 px=8 py=88 mon=0 line=0 char=0 tick=0
f=240 fc=196 room=1 px=8 py=79 mon=0 line=0 char=0 tick=0
f=300 fc=256 room=1 px=8 py=79 mon=0 line=0 char=0 tick=0
f=360 fc=316 room=1 px=8 py=79 mon=0 line=0 char=0 tick=0
f=420 fc=12 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=480 fc=72 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=540 fc=132 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=600 fc=192 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=660 fc=252 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=720 fc=312 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=780 fc=372 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=840 fc=432 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=900 fc=492 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=960 fc=552 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1020 fc=612 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1080 fc=672 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1140 fc=732 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1200 fc=792 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1260 fc=852 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1320 fc=912 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1380 fc=972 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1440 fc=1032 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1500 fc=1092 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1560 fc=1152 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1620 fc=1212 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1680 fc=1272 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1740 fc=1332 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1800 fc=1392 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1860 fc=1452 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1920 fc=1512 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=1980 fc=1572 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2040 fc=1632 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2100 fc=1692 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2160 fc=1752 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2220 fc=1812 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2280 fc=1872 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2340 fc=1932 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
f=2400 fc=1992 room=0 px=0 py=0 mon=0 line=0 char=0 tick=0
TIMEOUT
