START
f=1 fc=65535 room=0 mon=255 line=255 char=255
f=20 fc=0 room=0 mon=58 line=1 char=0
f=40 fc=0 room=0 mon=58 line=1 char=0
f=60 fc=0 room=0 mon=58 line=1 char=0
f=80 fc=0 room=0 mon=58 line=1 char=0
f=100 fc=0 room=0 mon=58 line=1 char=0
f=120 fc=0 room=0 mon=58 line=1 char=0
f=140 fc=0 room=32768 mon=58 line=1 char=0
f=160 fc=0 room=0 mon=58 line=1 char=0
f=180 fc=0 room=0 mon=58 line=1 char=0
f=200 fc=0 room=32768 mon=42 line=1 char=0
f=220 fc=0 room=0 mon=18 line=1 char=0
f=240 fc=0 room=0 mon=58 line=1 char=0
f=260 fc=0 room=32768 mon=34 line=1 char=0
f=280 fc=0 room=0 mon=10 line=1 char=0
f=300 fc=0 room=0 mon=50 line=1 char=0
f=320 fc=0 room=32768 mon=26 line=1 char=0
f=340 fc=0 room=0 mon=31 line=1 char=0
f=360 fc=0 room=0 mon=7 line=1 char=0
f=380 fc=0 room=0 mon=47 line=1 char=0
f=400 fc=0 room=0 mon=23 line=1 char=0
f=420 fc=0 room=0 mon=63 line=1 char=0
f=440 fc=0 room=0 mon=39 line=1 char=0
f=460 fc=0 room=0 mon=15 line=1 char=0
f=480 fc=0 room=0 mon=47 line=1 char=0
f=500 fc=0 room=0 mon=23 line=1 char=0
f=520 fc=0 room=0 mon=63 line=1 char=0
f=540 fc=0 room=0 mon=39 line=1 char=0
f=560 fc=0 room=0 mon=15 line=1 char=0
f=580 fc=0 room=0 mon=55 line=1 char=0
f=600 fc=0 room=0 mon=31 line=1 char=0
f=620 fc=0 room=0 mon=15 line=1 char=0
f=640 fc=0 room=0 mon=55 line=1 char=0
f=660 fc=0 room=0 mon=31 line=1 char=0
f=680 fc=0 room=0 mon=7 line=1 char=0
f=700 fc=0 room=0 mon=47 line=1 char=0
f=720 fc=0 room=0 mon=23 line=1 char=0
f=740 fc=0 room=0 mon=63 line=1 char=0
f=760 fc=0 room=0 mon=44 line=1 char=0
f=780 fc=0 room=0 mon=20 line=1 char=0
f=800 fc=0 room=0 mon=60 line=1 char=0
f=820 fc=0 room=0 mon=36 line=1 char=0
f=840 fc=0 room=0 mon=12 line=1 char=0
f=860 fc=0 room=0 mon=52 line=1 char=0
f=880 fc=0 room=0 mon=28 line=1 char=0
f=900 fc=0 room=0 mon=46 line=1 char=0
f=920 fc=0 room=0 mon=22 line=1 char=0
f=940 fc=0 room=0 mon=62 line=1 char=0
f=960 fc=0 room=0 mon=38 line=1 char=0
f=980 fc=0 room=0 mon=14 line=1 char=0
f=1000 fc=0 room=0 mon=54 line=1 char=0
f=1020 fc=0 room=0 mon=30 line=1 char=0
f=1040 fc=0 room=0 mon=36 line=1 char=0
f=1060 fc=0 room=0 mon=12 line=1 char=0
f=1080 fc=0 room=0 mon=52 line=1 char=0
f=1100 fc=0 room=0 mon=28 line=1 char=0
f=1120 fc=0 room=0 mon=4 line=1 char=0
f=1140 fc=0 room=0 mon=44 line=1 char=0
f=1160 fc=0 room=0 mon=20 line=1 char=0
f=1180 fc=0 room=0 mon=43 line=1 char=0
f=1200 fc=0 room=0 mon=19 line=1 char=0
TIMEOUT
