START
f=1 fc=65535 room=0 same=0 px=65535 py=65535 mon=0 tick=0 line=0 char=0
f=30 fc=10 room=0 same=0 px=0 py=0 mon=0 tick=0 line=0 char=0
f=60 fc=4 room=0 same=0 px=0 py=0 mon=0 tick=0 line=0 char=0
f=90 fc=34 room=0 same=0 px=0 py=0 mon=0 tick=0 line=0 char=0
f=120 fc=64 room=0 same=0 px=0 py=0 mon=0 tick=0 line=0 char=0
f=150 fc=94 room=0 same=0 px=0 py=0 mon=0 tick=0 line=0 char=0
f=180 fc=124 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=210 fc=154 room=1 same=0 px=8 py=77 mon=0 tick=0 line=0 char=0
f=240 fc=184 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=270 fc=214 room=1 same=0 px=8 py=79 mon=0 tick=0 line=0 char=0
f=300 fc=244 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=330 fc=274 room=1 same=0 px=8 py=79 mon=0 tick=0 line=0 char=0
f=360 fc=304 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=390 fc=334 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=420 fc=364 room=1 same=0 px=8 py=79 mon=0 tick=0 line=0 char=0
f=450 fc=394 room=1 same=0 px=8 py=88 mon=0 tick=0 line=0 char=0
f=480 fc=424 room=1 same=0 px=8 py=85 mon=0 tick=0 line=0 char=0
f=510 fc=454 room=1 same=0 px=8 py=83 mon=0 tick=0 line=0 char=0
f=540 fc=484 room=1 same=0 px=8 py=90 mon=0 tick=0 line=0 char=0
f=570 fc=514 room=1 same=0 px=8 py=79 mon=0 tick=0 line=0 char=0
f=600 fc=544 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=630 fc=574 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=660 fc=604 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=690 fc=634 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
