START
FRAME f=1 fc=65535 room=0 px=65535 py=65535 disp=0 tick=0 line=0 char=0
ROOM12 frame=192 fc=136
FRAME f=192 fc=136 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=193 fc=137 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=194 fc=138 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=195 fc=139 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=196 fc=140 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=197 fc=141 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=198 fc=142 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=199 fc=143 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=200 fc=144 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=201 fc=145 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=202 fc=146 room=12 px=60 py=40 disp=0 tick=0 line=0 char=0
FRAME f=203 fc=147 room=12 px=60 py=40 disp=1 tick=1 line=0 char=0
FRAME f=204 fc=148 room=12 px=60 py=40 disp=1 tick=1 line=0 char=0
FRAME f=205 fc=149 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=206 fc=150 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=207 fc=151 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=208 fc=152 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=209 fc=153 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=210 fc=154 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=211 fc=155 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=212 fc=156 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=213 fc=157 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=214 fc=158 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=215 fc=159 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=216 fc=160 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=217 fc=161 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=218 fc=162 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=219 fc=163 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=220 fc=164 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=221 fc=165 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=222 fc=166 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=223 fc=167 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=224 fc=168 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=225 fc=169 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=226 fc=170 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=227 fc=171 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=228 fc=172 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=229 fc=173 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=230 fc=174 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=231 fc=175 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=232 fc=176 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=233 fc=177 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=234 fc=178 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=235 fc=179 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=236 fc=180 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=237 fc=181 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=238 fc=182 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=239 fc=183 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=240 fc=184 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=241 fc=185 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=242 fc=186 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=243 fc=187 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=244 fc=188 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=245 fc=189 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=246 fc=190 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=247 fc=191 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=248 fc=192 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=249 fc=193 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=250 fc=194 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=251 fc=195 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=252 fc=196 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=253 fc=197 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=254 fc=198 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=255 fc=199 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=256 fc=200 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=257 fc=201 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
FRAME f=258 fc=202 room=12 px=60 py=40 disp=1 tick=0 line=0 char=1
