START
ROOM12 frame=522 fc=466
f=522 fc=466 px=8 py=112 mon=0 line=0 char=0 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=0 touches=0 lastTouch=0 lastPx=0 lastPy=0 tickB=0 tickA=0
MONUMENT index=1 x=56 y=32
TEXT_START frame=531 fc=475 mon=1 line=0 char=0 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=2 touches=1 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=532 fc=476 px=60 py=40 mon=1 line=0 char=0 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=2 touches=1 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=542 fc=486 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=552 fc=496 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=562 fc=506 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=572 fc=516 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=582 fc=526 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=592 fc=536 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
f=602 fc=546 px=60 py=40 mon=1 line=0 char=1 tick=0 anyDirty=0 mapDirty=0000 mapDma=0 slotDma=0 calls=3 touches=2 lastTouch=1 lastPx=60 lastPy=40 tickB=0 tickA=0
