START
f=1 fc=65535 room=0 phase=boot px=65535 py=65535 mon=0 tick=0 line=0 char=0
f=60 fc=126 room=0 phase=boot px=0 py=0 mon=0 tick=0 line=0 char=0
f=120 fc=126 room=0 phase=boot px=0 py=0 mon=0 tick=0 line=0 char=0
f=180 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=240 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=300 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=360 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=420 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=480 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=540 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=600 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=660 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=720 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=780 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=840 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=900 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=960 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1020 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1080 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1140 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1200 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1260 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1320 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1380 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1440 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1500 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1560 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1620 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1680 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1740 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1800 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1860 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1920 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=1980 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=2040 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=2100 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=2160 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=2220 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=2280 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=2340 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
f=2400 fc=2084 room=0 phase=boot px=14336 py=255 mon=0 tick=0 line=0 char=0
FAIL timeout
