START
ROOM 1 at f=112 fc=53 nmi=92
f=112 fc=53 nmi=92 room=1 hvb=0xEE nmit=0xAE pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=113 fc=53 nmi=93 room=1 hvb=0xC8 nmit=0x08 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=114 fc=53 nmi=94 room=1 hvb=0xC4 nmit=0x04 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=115 fc=53 nmi=95 room=1 hvb=0xC2 nmit=0x02 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=116 fc=53 nmi=96 room=1 hvb=0xC6 nmit=0x06 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=117 fc=53 nmi=97 room=1 hvb=0xC6 nmit=0x06 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=118 fc=53 nmi=98 room=1 hvb=0xC6 nmit=0x87 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=119 fc=53 nmi=99 room=1 hvb=0xD0 nmit=0x11 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=120 fc=53 nmi=100 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=121 fc=53 nmi=101 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=122 fc=53 nmi=102 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=123 fc=53 nmi=103 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=124 fc=53 nmi=104 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=125 fc=53 nmi=105 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=126 fc=53 nmi=106 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=127 fc=53 nmi=107 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=128 fc=53 nmi=108 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=129 fc=53 nmi=109 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=130 fc=53 nmi=110 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=131 fc=53 nmi=111 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=132 fc=53 nmi=112 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=133 fc=53 nmi=113 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=134 fc=53 nmi=114 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=135 fc=53 nmi=115 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=136 fc=53 nmi=116 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=137 fc=53 nmi=117 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=138 fc=53 nmi=118 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=139 fc=53 nmi=119 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=140 fc=53 nmi=120 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=141 fc=53 nmi=121 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=142 fc=53 nmi=122 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=180 fc=53 nmi=160 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=240 fc=53 nmi=220 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=300 fc=53 nmi=280 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
f=360 fc=53 nmi=340 room=1 hvb=0xE0 nmit=0x20 pc=0xFFFFFFFFFFFFFFFF sp=0xFFFFFFFFFFFFFFFF
DONE
