START
f=1 fc=65535 room=0 same=0 px=65535 py=65535
f=30 fc=10 room=0 same=0 px=0 py=0
f=60 fc=4 room=0 same=0 px=0 py=0
f=90 fc=34 room=0 same=0 px=0 py=0
f=120 fc=64 room=0 same=0 px=0 py=0
f=150 fc=94 room=0 same=0 px=0 py=0
f=172 fc=116 room=12 same=0 px=0 py=0
f=173 fc=117 room=12 same=0 px=0 py=0
f=174 fc=118 room=12 same=0 px=0 py=0
f=175 fc=119 room=12 same=0 px=0 py=0
f=176 fc=120 room=12 same=0 px=0 py=0
f=177 fc=121 room=12 same=0 px=0 py=0
f=178 fc=122 room=12 same=0 px=0 py=0
f=179 fc=123 room=12 same=0 px=16 py=104
f=180 fc=124 room=12 same=0 px=16 py=104
f=181 fc=125 room=12 same=0 px=16 py=104
f=182 fc=126 room=12 same=0 px=16 py=104
f=183 fc=127 room=12 same=0 px=16 py=104
f=184 fc=128 room=12 same=0 px=16 py=104
f=185 fc=129 room=12 same=0 px=16 py=104
f=186 fc=130 room=12 same=0 px=16 py=104
f=187 fc=131 room=12 same=0 px=16 py=104
f=188 fc=132 room=12 same=0 px=16 py=104
f=189 fc=133 room=12 same=0 px=16 py=104
f=190 fc=134 room=12 same=0 px=16 py=104
f=191 fc=135 room=12 same=0 px=16 py=104
f=192 fc=136 room=12 same=0 px=16 py=104
f=193 fc=137 room=12 same=0 px=16 py=101
f=194 fc=138 room=12 same=0 px=16 py=101
f=195 fc=139 room=12 same=0 px=16 py=98
f=196 fc=140 room=12 same=0 px=16 py=98
f=197 fc=141 room=12 same=0 px=16 py=96
f=198 fc=142 room=12 same=0 px=16 py=96
f=199 fc=143 room=12 same=0 px=16 py=93
f=200 fc=144 room=12 same=0 px=16 py=93
f=201 fc=145 room=12 same=0 px=16 py=91
f=202 fc=146 room=12 same=0 px=16 py=91
f=203 fc=147 room=12 same=0 px=16 py=89
f=204 fc=148 room=12 same=0 px=16 py=89
f=205 fc=149 room=12 same=0 px=16 py=87
f=206 fc=150 room=12 same=0 px=16 py=87
f=207 fc=151 room=12 same=0 px=16 py=87
f=208 fc=152 room=12 same=0 px=16 py=87
f=209 fc=153 room=12 same=0 px=16 py=87
f=210 fc=154 room=12 same=0 px=16 py=87
