START
f=1 fc=65535 room=0 same=0 px=65535 py=65535 mon=0 tick=0 line=0 char=0
f=30 fc=23 room=0 same=0 px=0 py=0 mon=0 tick=0 line=0 char=0
f=60 fc=16 room=0 same=0 px=0 py=0 mon=0 tick=0 line=0 char=0
f=90 fc=46 room=0 same=0 px=0 py=0 mon=0 tick=0 line=0 char=0
f=120 fc=76 room=1 same=0 px=8 py=96 mon=0 tick=0 line=0 char=0
f=150 fc=106 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=180 fc=136 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=210 fc=166 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=240 fc=196 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=270 fc=226 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=300 fc=256 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=330 fc=286 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=360 fc=316 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=390 fc=346 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=420 fc=376 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=450 fc=406 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=480 fc=436 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=510 fc=466 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=540 fc=496 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=570 fc=526 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=600 fc=556 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=630 fc=586 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=660 fc=616 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=690 fc=646 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=720 fc=676 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=750 fc=706 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=780 fc=736 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=810 fc=766 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=840 fc=796 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=870 fc=826 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=900 fc=856 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=930 fc=886 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=960 fc=916 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=990 fc=946 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1020 fc=976 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1050 fc=1006 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1080 fc=1036 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1110 fc=1066 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1140 fc=1096 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1170 fc=1126 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1200 fc=1156 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1230 fc=1186 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1260 fc=1216 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1290 fc=1246 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1320 fc=1276 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1350 fc=1306 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1380 fc=1336 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1410 fc=1366 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1440 fc=1396 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1470 fc=1426 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1500 fc=1456 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1530 fc=1486 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1560 fc=1516 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1590 fc=1546 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1620 fc=1576 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1650 fc=1606 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1680 fc=1636 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1710 fc=1666 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1740 fc=1696 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1770 fc=1726 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
f=1800 fc=1756 room=2 same=0 px=8 py=112 mon=0 tick=0 line=0 char=0
TIMEOUT
