START
ROOM frame=1 fc=65535 room=0 px=65535 py=65535
f=1 fc=65535 room=0 same=0 px=65535 py=65535
f=30 fc=23 room=0 same=0 px=0 py=0
f=60 fc=16 room=0 same=0 px=0 py=0
f=90 fc=46 room=0 same=0 px=0 py=0
f=120 fc=76 room=0 same=0 px=0 py=0
f=150 fc=106 room=0 same=0 px=0 py=0
ROOM frame=172 fc=128 room=1 px=0 py=0
f=172 fc=128 room=1 same=0 px=0 py=0
f=173 fc=129 room=1 same=0 px=0 py=0
f=174 fc=130 room=1 same=0 px=8 py=96
f=175 fc=131 room=1 same=0 px=8 py=96
f=176 fc=132 room=1 same=0 px=8 py=96
f=177 fc=133 room=1 same=0 px=8 py=96
f=178 fc=134 room=1 same=0 px=8 py=65528
f=179 fc=135 room=1 same=0 px=8 py=65528
ROOM frame=180 fc=136 room=2 px=8 py=65528
f=180 fc=136 room=2 same=0 px=8 py=65528
f=181 fc=137 room=2 same=0 px=8 py=65528
f=182 fc=138 room=2 same=0 px=8 py=112
f=183 fc=139 room=2 same=0 px=8 py=112
f=184 fc=140 room=2 same=0 px=8 py=112
f=185 fc=141 room=2 same=0 px=8 py=112
f=186 fc=142 room=2 same=0 px=8 py=65528
ROOM frame=187 fc=143 room=3 px=8 py=65528
f=187 fc=143 room=3 same=0 px=8 py=65528
f=188 fc=144 room=3 same=0 px=8 py=65528
f=189 fc=145 room=3 same=0 px=8 py=104
f=190 fc=146 room=3 same=0 px=8 py=104
f=191 fc=147 room=3 same=0 px=8 py=101
f=192 fc=148 room=3 same=0 px=8 py=101
f=193 fc=149 room=3 same=0 px=8 py=65528
f=194 fc=150 room=3 same=0 px=8 py=65528
ROOM frame=195 fc=151 room=4 px=8 py=65528
ROOM4 frame=195 fc=151 px=8 py=65528
f=195 fc=151 room=4 same=0 px=8 py=65528
f=196 fc=152 room=4 same=0 px=8 py=65528
f=197 fc=153 room=4 same=0 px=8 py=96
f=198 fc=154 room=4 same=0 px=8 py=96
f=199 fc=155 room=4 same=0 px=8 py=96
f=200 fc=156 room=4 same=0 px=8 py=96
f=201 fc=157 room=4 same=0 px=8 py=96
f=202 fc=158 room=4 same=0 px=8 py=96
f=203 fc=159 room=4 same=0 px=8 py=96
f=204 fc=160 room=4 same=0 px=8 py=96
f=205 fc=161 room=4 same=0 px=8 py=96
f=206 fc=162 room=4 same=0 px=8 py=96
f=207 fc=163 room=4 same=0 px=8 py=96
f=208 fc=164 room=4 same=0 px=8 py=96
f=209 fc=165 room=4 same=0 px=8 py=96
f=210 fc=166 room=4 same=0 px=8 py=96
f=211 fc=167 room=4 same=0 px=8 py=96
f=212 fc=168 room=4 same=0 px=8 py=96
f=213 fc=169 room=4 same=0 px=8 py=96
f=214 fc=170 room=4 same=0 px=8 py=96
f=215 fc=171 room=4 same=0 px=8 py=96
f=216 fc=172 room=4 same=0 px=8 py=96
f=217 fc=173 room=4 same=0 px=8 py=96
f=218 fc=174 room=4 same=0 px=8 py=96
f=219 fc=175 room=4 same=0 px=8 py=96
f=220 fc=176 room=4 same=0 px=8 py=96
f=221 fc=177 room=4 same=0 px=8 py=93
f=222 fc=178 room=4 same=0 px=8 py=93
f=223 fc=179 room=4 same=0 px=8 py=90
f=224 fc=180 room=4 same=0 px=8 py=90
f=225 fc=181 room=4 same=0 px=8 py=88
f=226 fc=182 room=4 same=0 px=8 py=88
f=227 fc=183 room=4 same=0 px=8 py=85
f=228 fc=184 room=4 same=0 px=8 py=85
f=229 fc=185 room=4 same=0 px=8 py=83
f=230 fc=186 room=4 same=0 px=8 py=83
f=231 fc=187 room=4 same=0 px=8 py=81
f=232 fc=188 room=4 same=0 px=8 py=81
f=233 fc=189 room=4 same=0 px=8 py=79
f=234 fc=190 room=4 same=0 px=8 py=79
f=235 fc=191 room=4 same=0 px=8 py=79
f=236 fc=192 room=4 same=0 px=8 py=79
f=237 fc=193 room=4 same=0 px=8 py=79
f=238 fc=194 room=4 same=0 px=8 py=79
f=239 fc=195 room=4 same=0 px=8 py=77
f=240 fc=196 room=4 same=0 px=8 py=77
f=241 fc=197 room=4 same=0 px=8 py=77
