START
f=1 fc=65535 room=0 px=-1 py=-1
f=30 fc=10 room=0 px=0 py=0
f=60 fc=4 room=0 px=0 py=0
f=90 fc=34 room=0 px=0 py=0
f=120 fc=64 room=0 px=0 py=0
f=150 fc=94 room=0 px=0 py=0
f=172 fc=116 room=1 px=0 py=0
f=180 fc=124 room=1 px=8 py=96
f=181 fc=125 room=2 px=8 py=96
f=205 fc=149 room=3 px=8 py=97
f=210 fc=154 room=3 px=8 py=97
f=218 fc=162 room=4 px=8 py=104
f=230 fc=174 room=5 px=8 py=93
f=240 fc=184 room=5 px=8 py=88
f=241 fc=185 room=6 px=8 py=88
f=254 fc=198 room=7 px=8 py=85
ROOM8 frame=266 fc=210 px=16 py=112
f=266 fc=210 room=8 px=16 py=112
f=270 fc=214 room=8 px=16 py=112
f=300 fc=244 room=8 px=8 py=93
PASS frame=311 fc=255 room=8 px=8 py=97
