RUNNING
ROOM f=1 fc=65535 room=0 px=-1 py=-1 st=00 a0=00 a1=00 a2=00
TRACE f=15 fc=0 room=0 px=0 py=0 st=00 a0=00 a1=00 a2=00
TRACE f=30 fc=10 room=0 px=0 py=0 st=02 a0=AA a1=BB a2=00
TRACE f=45 fc=25 room=0 px=0 py=0 st=02 a0=AA a1=BB a2=00
TRACE f=60 fc=4 room=0 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=75 fc=19 room=0 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=90 fc=34 room=0 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=105 fc=49 room=0 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=120 fc=64 room=0 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=135 fc=79 room=0 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=150 fc=94 room=0 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=165 fc=109 room=0 px=0 py=0 st=05 a0=75 a1=BB a2=00
ROOM f=172 fc=116 room=8 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=172 fc=116 room=8 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=173 fc=117 room=8 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=174 fc=118 room=8 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=175 fc=119 room=8 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=176 fc=120 room=8 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=177 fc=121 room=8 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=178 fc=122 room=8 px=0 py=0 st=05 a0=75 a1=BB a2=00
TRACE f=179 fc=123 room=8 px=8 py=112 st=91 a0=04 a1=12 a2=00
TRACE f=180 fc=124 room=8 px=8 py=112 st=22 a0=1C a1=00 a2=80
TRACE f=181 fc=125 room=8 px=8 py=112 st=B2 a0=00 a1=00 a2=00
TRACE f=182 fc=126 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=183 fc=127 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=184 fc=128 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=185 fc=129 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=186 fc=130 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=187 fc=131 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=188 fc=132 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=189 fc=133 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=190 fc=134 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=191 fc=135 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=192 fc=136 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=193 fc=137 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=194 fc=138 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=195 fc=139 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=196 fc=140 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=197 fc=141 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=198 fc=142 room=8 px=8 py=112 st=B8 a0=28 a1=32 a2=01
TRACE f=199 fc=143 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=200 fc=144 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=201 fc=145 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=202 fc=146 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=203 fc=147 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=204 fc=148 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=205 fc=149 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=206 fc=150 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=207 fc=151 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=208 fc=152 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=209 fc=153 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=210 fc=154 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=211 fc=155 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=212 fc=156 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
TRACE f=213 fc=157 room=8 px=8 py=112 st=B8 a0=2A a1=32 a2=01
