f=1 fc=65535 room=0 stage=00 inTitle=0 titleMode=255 titleTimer=0 lastGF=0 eff=65535 timer=0:0 inHi=00 inLo=00 px=-1 py=-1 bg4x=0
f=30 fc=0 room=0 stage=00 inTitle=0 titleMode=0 titleTimer=0 lastGF=0 eff=0 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=0
f=60 fc=1024 room=0 stage=00 inTitle=3 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=6
f=90 fc=8704 room=0 stage=00 inTitle=33 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=184
f=120 fc=16384 room=0 stage=00 inTitle=63 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=364
f=150 fc=24064 room=0 stage=00 inTitle=93 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=544
f=180 fc=31744 room=0 stage=00 inTitle=123 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=724
f=210 fc=39424 room=0 stage=00 inTitle=153 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=904
f=240 fc=47104 room=0 stage=00 inTitle=183 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=1084
f=270 fc=54784 room=0 stage=00 inTitle=213 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=80 inLo=80 px=0 py=0 bg4x=1264
f=300 fc=59904 room=4096 stage=00 inTitle=234 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=80 inLo=80 px=28672 py=-32768 bg4x=1396
f=330 fc=0 room=0 stage=00 inTitle=0 titleMode=0 titleTimer=0 lastGF=0 eff=0 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=0
f=360 fc=7424 room=0 stage=00 inTitle=28 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=80 inLo=80 px=0 py=0 bg4x=148
f=390 fc=13056 room=4096 stage=00 inTitle=51 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=292
f=420 fc=0 room=0 stage=00 inTitle=0 titleMode=0 titleTimer=0 lastGF=0 eff=0 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=0
f=450 fc=6656 room=0 stage=00 inTitle=26 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=148
f=480 fc=14336 room=0 stage=00 inTitle=56 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=328
f=510 fc=22016 room=0 stage=00 inTitle=86 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=508
f=540 fc=29696 room=0 stage=00 inTitle=116 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=688
f=570 fc=37376 room=0 stage=00 inTitle=146 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=868
f=600 fc=45056 room=0 stage=00 inTitle=176 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=1048
f=630 fc=52736 room=0 stage=00 inTitle=206 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=1228
f=660 fc=60416 room=0 stage=00 inTitle=236 titleMode=0 titleTimer=0 lastGF=0 eff=42240 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=1408
f=690 fc=2561 room=0 stage=00 inTitle=10 titleMode=0 titleTimer=0 lastGF=1 eff=42241 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=1506
f=720 fc=10241 room=0 stage=00 inTitle=40 titleMode=0 titleTimer=0 lastGF=1 eff=42241 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=1536
f=750 fc=17921 room=0 stage=00 inTitle=70 titleMode=0 titleTimer=0 lastGF=1 eff=42241 timer=0:0 inHi=00 inLo=00 px=0 py=0 bg4x=1566
