RUNNING
TRACE frame=1 fc=65535 room=0 a=false x=-1 y=-1 same=0
TRACE frame=60 fc=7 room=0 a=false x=0 y=0 same=0
TRACE frame=120 fc=67 room=0 a=false x=0 y=0 same=0
SHOT_TITLE frame=180 fc=127 room=0
TRACE frame=180 fc=127 room=0 a=false x=0 y=0 same=0
TRACE frame=240 fc=187 room=0 a=true x=0 y=0 same=0
TRACE frame=292 fc=239 room=1 a=true x=0 y=0 same=0
TRACE frame=293 fc=240 room=1 a=true x=0 y=0 same=0
TRACE frame=294 fc=241 room=1 a=true x=0 y=0 same=0
TRACE frame=295 fc=242 room=1 a=true x=0 y=0 same=0
TRACE frame=296 fc=243 room=1 a=true x=0 y=0 same=0
TRACE frame=297 fc=244 room=1 a=true x=0 y=0 same=0
TRACE frame=298 fc=245 room=1 a=true x=0 y=0 same=0
TRACE frame=299 fc=246 room=1 a=true x=8 y=96 same=0
TRACE frame=300 fc=247 room=1 a=true x=8 y=96 same=0
TRACE frame=301 fc=248 room=1 a=true x=8 y=96 same=0
TRACE frame=302 fc=249 room=1 a=true x=8 y=96 same=0
TRACE frame=303 fc=250 room=1 a=true x=8 y=96 same=0
TRACE frame=304 fc=251 room=1 a=true x=8 y=96 same=0
TRACE frame=305 fc=252 room=1 a=true x=8 y=96 same=0
TRACE frame=306 fc=253 room=1 a=true x=8 y=96 same=0
TRACE frame=307 fc=254 room=1 a=true x=8 y=96 same=0
TRACE frame=308 fc=255 room=1 a=true x=8 y=96 same=0
TRACE frame=309 fc=256 room=1 a=true x=8 y=96 same=0
TRACE frame=310 fc=257 room=1 a=true x=8 y=96 same=0
TRACE frame=311 fc=258 room=1 a=true x=8 y=96 same=0
TRACE frame=312 fc=259 room=1 a=true x=8 y=96 same=0
TRACE frame=313 fc=260 room=1 a=true x=8 y=96 same=0
TRACE frame=314 fc=261 room=1 a=true x=8 y=96 same=0
TRACE frame=315 fc=262 room=1 a=true x=8 y=96 same=0
TRACE frame=316 fc=263 room=1 a=true x=8 y=96 same=0
TRACE frame=317 fc=264 room=1 a=true x=8 y=96 same=0
TRACE frame=318 fc=265 room=1 a=true x=8 y=96 same=0
TRACE frame=319 fc=266 room=1 a=true x=8 y=96 same=0
TRACE frame=320 fc=267 room=1 a=true x=8 y=96 same=0
TRACE frame=321 fc=268 room=1 a=true x=8 y=96 same=0
TRACE frame=322 fc=269 room=1 a=true x=8 y=96 same=0
TRACE frame=323 fc=270 room=1 a=true x=8 y=96 same=0
TRACE frame=324 fc=271 room=1 a=true x=8 y=96 same=0
TRACE frame=325 fc=272 room=1 a=true x=8 y=96 same=0
TRACE frame=326 fc=273 room=1 a=true x=8 y=96 same=0
TRACE frame=327 fc=274 room=1 a=true x=8 y=96 same=0
TRACE frame=328 fc=275 room=1 a=true x=8 y=96 same=0
TRACE frame=329 fc=276 room=1 a=true x=8 y=96 same=0
TRACE frame=330 fc=277 room=1 a=true x=8 y=96 same=0
TRACE frame=331 fc=278 room=1 a=true x=8 y=96 same=0
TRACE frame=332 fc=279 room=1 a=true x=8 y=96 same=0
TRACE frame=333 fc=280 room=1 a=true x=8 y=96 same=0
TRACE frame=334 fc=281 room=1 a=true x=8 y=96 same=0
TRACE frame=335 fc=282 room=1 a=true x=8 y=96 same=0
TRACE frame=336 fc=283 room=1 a=true x=8 y=96 same=0
TRACE frame=337 fc=284 room=1 a=true x=8 y=96 same=0
TRACE frame=338 fc=285 room=1 a=true x=8 y=96 same=0
TRACE frame=339 fc=286 room=1 a=true x=8 y=96 same=0
TRACE frame=340 fc=287 room=1 a=true x=8 y=96 same=0
TRACE frame=341 fc=288 room=1 a=true x=8 y=96 same=0
TRACE frame=342 fc=289 room=1 a=true x=8 y=96 same=0
TRACE frame=343 fc=290 room=1 a=true x=8 y=96 same=0
TRACE frame=344 fc=291 room=1 a=true x=8 y=96 same=0
TRACE frame=345 fc=292 room=1 a=true x=8 y=96 same=0
