START
TRACE f=1 fc=65535 room=0 title=0 timer=0 state=00 lo=00 bank=FF sp=FF stk=FF,FF,FF,FF k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=30 fc=10 room=0 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=60 fc=4 room=0 title=1 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=90 fc=34 room=0 title=1 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=120 fc=64 room=0 title=1 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=150 fc=94 room=0 title=1 timer=22 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=170 fc=114 room=0 title=1 timer=2 state=80 lo=80 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=171 fc=115 room=0 title=1 timer=1 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=172 fc=116 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=173 fc=117 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=174 fc=118 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=175 fc=119 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=176 fc=120 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=177 fc=121 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=178 fc=122 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=179 fc=123 room=1 title=0 timer=0 state=00 lo=00 bank=07 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=180 fc=124 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=181 fc=125 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=182 fc=126 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=183 fc=127 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=184 fc=128 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=185 fc=129 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=186 fc=130 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=187 fc=131 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=188 fc=132 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=189 fc=133 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=190 fc=134 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=191 fc=135 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=192 fc=136 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=193 fc=137 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
TRACE f=194 fc=138 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
