START
f=1 fc=65535 room=0 title=0 timer=0 state=00 lo=00 bank=FF sp=FF stk=FF,FF,FF,FF set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=30 fc=10 room=0 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=60 fc=4 room=0 title=1 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=90 fc=34 room=0 title=1 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=120 fc=64 room=0 title=1 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=true a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=150 fc=94 room=0 title=1 timer=22 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=true a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=175 fc=119 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=176 fc=120 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=177 fc=121 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=178 fc=122 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,00,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=179 fc=123 room=1 title=0 timer=0 state=00 lo=00 bank=07 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=180 fc=124 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=181 fc=125 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=182 fc=126 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=183 fc=127 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=184 fc=128 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=185 fc=129 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=186 fc=130 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=187 fc=131 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=188 fc=132 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=189 fc=133 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=190 fc=134 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=191 fc=135 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=192 fc=136 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=193 fc=137 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=194 fc=138 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=195 fc=139 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=196 fc=140 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=197 fc=141 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=198 fc=142 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=199 fc=143 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=200 fc=144 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=201 fc=145 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=202 fc=146 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=203 fc=147 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=204 fc=148 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=205 fc=149 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=206 fc=150 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=207 fc=151 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=208 fc=152 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=209 fc=153 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=210 fc=154 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=211 fc=155 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=212 fc=156 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=213 fc=157 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=214 fc=158 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=215 fc=159 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=240 fc=184 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=241 fc=185 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=270 fc=214 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=300 fc=244 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=301 fc=245 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=330 fc=274 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=360 fc=304 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=390 fc=334 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=391 fc=335 room=1 title=0 timer=0 state=00 lo=00 bank=04 sp=01 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=420 fc=364 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
f=450 fc=394 room=1 title=0 timer=0 state=00 lo=00 bank=00 sp=00 stk=00,01,00,00 set[start=false a=false b=false] k=?? pc=???? sp=???? a=???? x=???? y=???? p=??
