START
f=1 fc=65535 room=0 mon=0 tick=0 line=0 char=0 px=65535 py=65535
f=10 fc=0 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=20 fc=0 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=30 fc=10 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=40 fc=20 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=50 fc=30 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=60 fc=4 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=70 fc=14 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=80 fc=24 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=90 fc=34 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=100 fc=44 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=110 fc=54 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=120 fc=64 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=130 fc=74 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=140 fc=84 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=150 fc=94 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=160 fc=104 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=170 fc=114 room=0 mon=0 tick=0 line=0 char=0 px=0 py=0
f=180 fc=124 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=190 fc=134 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=200 fc=144 room=1 mon=0 tick=0 line=0 char=0 px=8 py=83
f=210 fc=154 room=1 mon=0 tick=0 line=0 char=0 px=8 py=77
f=220 fc=164 room=1 mon=0 tick=0 line=0 char=0 px=8 py=81
f=230 fc=174 room=1 mon=0 tick=0 line=0 char=0 px=8 py=90
f=240 fc=184 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=250 fc=194 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=260 fc=204 room=1 mon=0 tick=0 line=0 char=0 px=8 py=83
f=270 fc=214 room=1 mon=0 tick=0 line=0 char=0 px=8 py=79
f=280 fc=224 room=1 mon=0 tick=0 line=0 char=0 px=8 py=81
f=290 fc=234 room=1 mon=0 tick=0 line=0 char=0 px=8 py=90
f=300 fc=244 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=310 fc=254 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=320 fc=264 room=1 mon=0 tick=0 line=0 char=0 px=8 py=83
f=330 fc=274 room=1 mon=0 tick=0 line=0 char=0 px=8 py=79
f=340 fc=284 room=1 mon=0 tick=0 line=0 char=0 px=8 py=81
f=350 fc=294 room=1 mon=0 tick=0 line=0 char=0 px=8 py=91
f=360 fc=304 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=370 fc=314 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=380 fc=324 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=390 fc=334 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=400 fc=344 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=410 fc=354 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=420 fc=364 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=430 fc=374 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=440 fc=384 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=450 fc=394 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=460 fc=404 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=470 fc=414 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=480 fc=424 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=490 fc=434 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=500 fc=444 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=510 fc=454 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=520 fc=464 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=530 fc=474 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=540 fc=484 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=550 fc=494 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=560 fc=504 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=570 fc=514 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=580 fc=524 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=590 fc=534 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=600 fc=544 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=610 fc=554 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=620 fc=564 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=630 fc=574 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=640 fc=584 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=650 fc=594 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=660 fc=604 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=670 fc=614 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=680 fc=624 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=690 fc=634 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=700 fc=644 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=710 fc=654 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=720 fc=664 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=730 fc=674 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=740 fc=684 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=750 fc=694 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=760 fc=704 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=770 fc=714 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=780 fc=724 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=790 fc=734 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=800 fc=744 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=810 fc=754 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=820 fc=764 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=830 fc=774 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=840 fc=784 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=850 fc=794 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=860 fc=804 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=870 fc=814 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=880 fc=824 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=890 fc=834 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=900 fc=844 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=910 fc=854 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=920 fc=864 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=930 fc=874 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=940 fc=884 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=950 fc=894 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=960 fc=904 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=970 fc=914 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=980 fc=924 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=990 fc=934 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1000 fc=944 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1010 fc=954 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1020 fc=964 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1030 fc=974 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1040 fc=984 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1050 fc=994 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1060 fc=1004 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1070 fc=1014 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1080 fc=1024 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1090 fc=1034 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1100 fc=1044 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1110 fc=1054 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
f=1120 fc=1064 room=1 mon=0 tick=0 line=0 char=0 px=8 py=96
