f=1 pitch=0 note=0 ticks=0 remain=0 active=0
f=2 pitch=477 note=0 ticks=1 remain=32 active=1
f=3 pitch=477 note=0 ticks=3 remain=29 active=1
f=4 pitch=477 note=0 ticks=5 remain=27 active=1
f=5 pitch=477 note=0 ticks=7 remain=25 active=1
f=6 pitch=477 note=0 ticks=9 remain=23 active=1
f=7 pitch=477 note=0 ticks=11 remain=21 active=1
f=8 pitch=477 note=0 ticks=14 remain=19 active=1
f=9 pitch=477 note=0 ticks=16 remain=17 active=1
f=10 pitch=477 note=0 ticks=18 remain=14 active=1
f=11 pitch=477 note=0 ticks=20 remain=12 active=1
f=12 pitch=477 note=0 ticks=22 remain=10 active=1
f=13 pitch=477 note=0 ticks=24 remain=8 active=1
f=14 pitch=477 note=0 ticks=26 remain=6 active=1
f=15 pitch=477 note=0 ticks=29 remain=4 active=1
f=16 pitch=477 note=0 ticks=31 remain=2 active=1
f=17 pitch=477 note=0 ticks=33 remain=32 active=1
f=18 pitch=477 note=0 ticks=35 remain=30 active=1
f=19 pitch=477 note=0 ticks=37 remain=28 active=1
f=20 pitch=477 note=0 ticks=39 remain=26 active=1
f=30 pitch=477 note=0 ticks=61 remain=4 active=1
f=45 pitch=477 note=0 ticks=93 remain=5 active=1
f=60 pitch=477 note=0 ticks=125 remain=6 active=1
f=75 pitch=477 note=0 ticks=158 remain=7 active=1
f=90 pitch=477 note=0 ticks=190 remain=7 active=1
f=105 pitch=477 note=0 ticks=222 remain=8 active=1
f=120 pitch=477 note=0 ticks=254 remain=9 active=1
f=135 pitch=477 note=0 ticks=287 remain=10 active=1
f=150 pitch=477 note=0 ticks=319 remain=10 active=1
f=165 pitch=477 note=0 ticks=351 remain=11 active=1
f=180 pitch=477 note=0 ticks=383 remain=12 active=1
f=195 pitch=477 note=0 ticks=416 remain=13 active=1
f=210 pitch=477 note=0 ticks=448 remain=14 active=1
f=225 pitch=477 note=0 ticks=480 remain=14 active=1
f=240 pitch=477 note=0 ticks=512 remain=15 active=1
f=255 pitch=477 note=0 ticks=545 remain=16 active=1
f=270 pitch=477 note=0 ticks=577 remain=16 active=1
f=285 pitch=477 note=0 ticks=609 remain=17 active=1
f=300 pitch=477 note=0 ticks=641 remain=18 active=1
