frame,v0_pitch,v0_env,v0_vol,v0_srcn,v1_pitch,v1_env,v1_vol,v1_srcn,v2_pitch,v2_env,v2_vol,v2_srcn,v3_pitch,v3_env,v3_vol,v3_srcn
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
3,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
4,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
5,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
6,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
7,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
8,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
9,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
10,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
11,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
12,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
13,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
14,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
15,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
16,477,127,72,1,284,127,0,7,0,0,0,0,0,0,0,0
17,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
18,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
19,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
20,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
21,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
22,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
23,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
24,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
25,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
26,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
27,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
28,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
29,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
30,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
31,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
32,477,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
33,477,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
34,477,127,36,1,2023,124,0,6,0,0,0,0,0,0,0,0
35,477,127,36,1,2023,119,0,6,0,0,0,0,0,0,0,0
36,477,127,36,1,2023,115,0,6,0,0,0,0,0,0,0,0
37,477,127,36,1,2023,111,0,6,0,0,0,0,0,0,0,0
38,477,127,36,1,2023,108,0,6,0,0,0,0,0,0,0,0
39,477,127,36,1,2023,104,0,6,0,0,0,0,0,0,0,0
40,477,127,36,1,2023,101,0,6,0,0,0,0,0,0,0,0
41,477,127,36,1,2023,97,0,6,0,0,0,0,0,0,0,0
42,477,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
43,477,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
44,477,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
45,477,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
46,477,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
47,477,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
48,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
49,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
50,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
51,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
52,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
53,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
54,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
55,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
56,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
57,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
58,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
59,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
60,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
61,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
62,715,127,54,1,284,127,0,7,0,0,0,0,0,0,0,0
63,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
64,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
65,715,127,36,1,284,127,126,7,0,0,0,0,0,0,0,0
66,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
67,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
68,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
69,715,127,36,1,284,127,0,7,0,0,0,0,0,0,0,0
