frame,pitch,env,vol,srcn
1,0,0,0,0
2,284,127,126,7
3,284,127,102,7
4,284,127,86,7
5,284,127,70,7
6,284,127,55,7
7,284,127,39,7
8,284,127,23,7
9,284,127,0,7
10,284,4,118,7
11,284,0,102,7
12,284,0,86,7
13,284,0,70,7
14,284,0,55,7
15,284,0,39,7
16,284,0,15,7
17,284,0,0,7
18,284,127,118,7
19,284,127,102,7
20,284,127,86,7
21,284,127,70,7
22,284,127,55,7
23,284,127,31,7
24,284,127,15,7
25,284,127,0,7
26,284,0,118,7
27,284,0,102,7
28,284,0,86,7
29,284,0,63,7
30,284,0,47,7
31,284,0,31,7
32,284,0,15,7
33,284,0,0,7
34,2023,124,84,6
35,2023,120,73,6
36,2023,116,56,6
37,2023,112,45,6
38,2023,108,33,6
39,2023,104,22,6
40,2023,101,11,6
41,2023,97,0,6
42,284,127,118,7
43,284,127,94,7
44,284,127,78,7
45,284,127,63,7
46,284,127,47,7
47,284,127,31,7
48,284,127,15,7
49,284,127,0,7
50,284,0,110,7
51,284,0,94,7
52,284,0,78,7
53,284,0,63,7
54,284,0,47,7
55,284,0,31,7
56,284,0,7,7
57,284,0,248,7
58,284,0,110,7
59,284,0,94,7
60,284,0,78,7
61,284,0,63,7
62,284,0,47,7
63,284,0,23,7
64,284,0,7,7
65,284,127,126,7
66,284,127,110,7
67,284,127,94,7
68,284,127,78,7
69,284,127,55,7
70,284,127,39,7
71,284,127,23,7
72,284,127,7,7
73,284,76,248,7
74,284,0,110,7
75,284,0,94,7
76,284,0,70,7
77,284,0,55,7
78,284,0,39,7
79,284,0,23,7
80,284,0,7,7
81,284,0,248,7
82,284,0,110,7
83,284,0,86,7
84,284,0,70,7
85,284,0,55,7
86,284,0,39,7
87,284,0,23,7
88,284,0,7,7
89,284,0,248,7
90,284,0,102,7
91,284,0,86,7
92,284,0,70,7
93,284,0,55,7
94,284,0,39,7
95,284,0,23,7
96,284,0,0,7
97,2023,125,84,6
98,2023,121,73,6
99,2023,117,61,6
100,2023,113,50,6
101,2023,109,39,6
102,2023,105,28,6
103,2023,102,11,6
104,2023,98,0,6
105,2023,0,84,6
106,2023,0,73,6
107,2023,0,61,6
108,2023,0,50,6
109,2023,0,39,6
110,2023,0,22,6
111,2023,0,11,6
112,2023,0,0,6
113,284,127,118,7
114,284,127,102,7
115,284,127,86,7
116,284,127,63,7
117,284,127,47,7
118,284,127,31,7
119,284,127,15,7
120,284,127,0,7
121,284,0,118,7
122,284,0,102,7
123,284,0,78,7
124,284,0,63,7
125,284,0,47,7
126,284,0,31,7
127,284,0,15,7
128,284,0,0,7
129,284,127,118,7
130,284,127,94,7
131,284,127,78,7
132,284,127,63,7
133,284,127,47,7
134,284,127,31,7
135,284,127,15,7
136,284,127,0,7
137,284,0,110,7
138,284,0,94,7
139,284,0,78,7
140,284,0,63,7
141,284,0,47,7
142,284,0,31,7
143,284,0,7,7
144,284,0,126,7
145,284,127,110,7
146,284,127,94,7
147,284,127,78,7
148,284,127,63,7
149,284,127,47,7
150,284,127,23,7
151,284,127,7,7
152,284,97,248,7
153,284,0,110,7
154,284,0,94,7
155,284,0,78,7
156,284,0,55,7
157,284,0,39,7
158,284,0,23,7
159,284,0,7,7
160,2023,126,90,6
161,2023,122,78,6
162,2023,118,67,6
163,2023,114,50,6
164,2023,110,39,6
165,2023,107,28,6
166,2023,103,16,6
167,2023,99,5,6
168,284,127,126,7
169,284,127,110,7
170,284,127,86,7
171,284,127,70,7
172,284,127,55,7
173,284,127,39,7
174,284,127,23,7
175,284,127,7,7
176,284,24,118,7
177,284,0,102,7
178,284,0,86,7
179,284,0,70,7
180,284,0,55,7
181,284,0,39,7
182,284,0,23,7
183,284,0,0,7
184,284,0,118,7
185,284,0,102,7
186,284,0,86,7
187,284,0,70,7
188,284,0,55,7
189,284,0,39,7
190,284,0,15,7
191,284,0,0,7
192,284,127,118,7
193,284,127,102,7
194,284,127,86,7
195,284,127,70,7
196,284,127,47,7
197,284,127,31,7
198,284,127,15,7
199,284,127,0,7
200,284,0,118,7
201,284,0,102,7
202,284,0,86,7
203,284,0,63,7
204,284,0,47,7
205,284,0,31,7
206,284,0,15,7
207,284,0,0,7
208,284,0,118,7
209,284,0,102,7
210,284,0,78,7
211,284,0,63,7
212,284,0,47,7
213,284,0,31,7
214,284,0,15,7
215,284,0,0,7
216,284,0,118,7
217,284,0,94,7
218,284,0,78,7
219,284,0,63,7
220,284,0,47,7
221,284,0,31,7
222,284,0,15,7
223,284,0,0,7
224,2023,123,78,6
225,2023,119,67,6
